,TILINOCHCHI,1.4266,1.1442,1.2591,1.3238,1.3765,1.7097,1.0912,0.6697,NQC,NQC,NQC,1.0034,NQC,1.3238,NQC,1.3178,1.1817,1.0237,0.9290,NQC,0.8720,0.4734,0.8949,2.0612,NQC,0.5043,NQC,NQC
AANNAR,,NQC,1.1552,1.2591,1.0650,1.1896,1.7097,1.0912,0.6697,1.0359,NQC,NQC,0.8482,NQC,1.5693,0.4729,1.4707,1.4705,1.0463,1.7639,1.0933,0.5469,0.3522,0.7306,1.9200,NQC,0.8460,1.2409,NQC
,AULLAITIVU,NQC,1.1958,1.2591,1.5658,1.1836,1.7097,1.0912,0.6697,NQC,NQC,NQC,0.9077,NQC,1.2498,NQC,1.4911,1.1849,0.7543,1.4431,0.7165,0.5726,0.5371,0.5698,1.9218,NQC,1.1284,NQC,NQC
AVUNIYA,,1.3383,NQC,1.2591,1.6188,1.2851,1.7097,1.0912,0.6697,NQC,NQC,NQC,1.0356,NQC,1.7488,0.7056,1.5225,1.5549,1.1570,2.0405,0.7135,1.2292,0.8896,1.0531,1.7666,1.4667,0.7217,NQC,NQC
,RINCOMALEE,1.3403,1.3344,1.2591,1.6772,1.2349,1.7097,1.0912,0.6697,0.6160,NQC,NQC,1.1375,0.2069,1.3678,1.3122,1.5588,1.5491,1.2354,1.6668,1.0237,1.0293,0.9288,1.1016,2.0327,1.0812,0.5191,NQC,NQC
,ATTICALOA,NQC,1.2222,1.2591,1.7445,1.3342,1.7097,1.0912,0.6697,1.0429,NQC,0.8021,0.9939,NQC,2.0229,1.2506,1.5310,1.4509,1.3384,1.5441,1.3141,1.1579,1.0484,1.2576,1.9766,0.8626,0.7440,1.2695,NQC
MPARA,,1.3140,1.2751,1.2591,1.4429,1.3103,1.7097,1.0912,0.6697,0.9578,0.1072,0.2531,1.0158,0.7401,1.6088,0.9146,1.4474,1.2264,1.1981,1.6587,0.8861,1.0165,0.8596,1.0712,1.9955,0.8770,0.7846,1.3610,NQC
UTTALAM,,1.3180,1.3366,1.2591,1.7536,1.2811,1.7097,1.0912,0.6697,0.4771,1.9784,NQC,0.8864,0.7015,1.4693,0.6786,1.3475,1.4384,1.3067,1.8480,1.0236,1.0541,0.9377,1.0640,1.8688,0.8809,0.0527,NQC,1.1742
,URUNEGALA,1.3235,1.3010,1.2591,1.7298,1.3590,1.7097,1.0912,0.6697,1.1679,0.8923,0.6169,1.0637,1.0022,1.9247,1.1116,1.6197,1.3966,1.5275,1.6678,1.2605,1.2803,1.0196,1.3563,2.0336,0.8900,0.6661,1.3119,1.1651
,NURADHAPURA,1.3182,1.3053,1.2591,1.7909,1.5666,1.7097,1.0912,0.6697,0.3166,0.2262,0.0345,0.9754,0.3905,1.6915,1.0165,1.4700,1.5064,1.3866,1.8292,1.2434,1.1118,0.9891,1.2189,1.9597,0.8672,0.5470,1.2306,NQC
,OLONNARUWA,1.3523,1.2678,1.2591,1.8244,1.3766,1.7097,1.0912,0.6697,0.4470,NQC,0.0778,0.7398,1.1116,1.5049,0.7652,1.3141,1.4111,1.1273,1.8008,0.6901,0.7717,0.7040,0.9675,2.0047,NQC,0.3448,NQC,NQC
ADULLA,,1.3805,1.2933,1.2591,1.8211,1.3535,1.7097,1.0912,0.6697,0.9134,0.6454,0.2706,1.0761,0.5494,1.9214,0.7908,1.4983,1.5751,1.4448,1.6827,1.1443,1.2877,1.0562,1.3069,1.9882,0.9184,0.4432,2.1134,NQC
,AONARAGALA,1.3171,1.3394,1.2591,1.6468,1.3682,1.7097,1.0912,0.6697,0.5759,0.1659,0.5746,1.1026,0.6034,1.9966,0.8100,1.4741,1.5587,1.4683,1.8142,1.2309,1.1301,0.8842,1.2613,1.9926,NQC,0.2875,NQC,NQC
EGALLE,,1.3678,1.2760,1.2591,1.7454,1.5945,1.7097,1.0912,0.6697,1.0945,0.4628,0.6021,1.1404,0.9389,2.0723,0.8749,1.5964,1.4342,1.5047,1.8571,1.2025,1.3233,1.0717,1.3095,1.9588,0.9015,0.7922,1.1952,1.4896
ATNAPURA,,1.3158,1.2878,1.2591,1.7394,1.5729,1.7097,1.0912,0.6697,0.8104,0.5249,0.2226,1.0998,0.5435,1.9903,1.0426,1.5941,1.5024,1.5039,1.9577,1.2087,1.2318,1.0688,1.3252,2.0209,0.9586,0.4803,1.2978,1.1581
