,KILINOCHCHI,NQC,NQC,NQC,1.1679,NQC,0.6676,0.6318,0.6740,NQC,0.3229,0.2938,0.9018,0.7141,0.6293,1.1550,1.1664,0.4617,1.1914,NQC,NQC,NQC,1.1375,1.0353,NQC,NQC,1.5336,NQC,NQC
MANNAR,,0.2580,NQC,NQC,1.1122,NQC,0.8186,0.8055,0.6423,NQC,0.2385,0.3917,1.0246,0.7467,0.8008,1.3570,1.3138,0.5700,1.2278,NQC,1.1498,0.9179,NQC,NQC,NQC,NQC,1.3911,NQC,NQC
,MULLAITIVU,NQC,NQC,1.5418,1.0084,NQC,1.1659,0.4243,0.6910,NQC,0.2822,0.4441,1.1609,0.8908,0.4234,1.1545,1.1523,0.5144,1.3856,NQC,1.1769,0.9836,NQC,NQC,NQC,1.5448,NQC,1.4506,NQC
VAVUNIYA,,0.3714,1.4905,NQC,NQC,1.1909,1.0654,0.8336,0.6363,0.8055,0.4235,0.9452,1.0331,1.0332,0.8293,1.3099,1.3168,0.5585,1.2567,NQC,1.1376,1.0390,1.0532,NQC,1.5898,1.5486,NQC,1.4387,NQC
,TRINCOMALEE,0.3894,NQC,NQC,1.1570,1.1224,1.0945,1.1875,0.7539,0.8129,0.6419,0.7161,0.9219,1.1359,0.6262,1.2732,1.3925,0.5614,1.2220,1.3160,1.1790,1.0192,NQC,NQC,1.5775,1.5365,1.4968,NQC,NQC
,BATTICALOA,0.3894,NQC,NQC,1.3163,1.1111,1.0738,1.2597,0.7482,0.7989,0.6362,1.0664,1.1206,1.2084,0.9611,1.1742,1.3948,0.6844,1.2015,NQC,1.1378,0.9374,1.0013,0.9994,1.5872,1.5309,1.4891,1.5034,1.7382
AMPARA,,0.4487,1.5052,NQC,1.1844,1.1254,1.1254,1.3318,0.7573,0.7276,0.5632,0.8983,0.9687,0.9017,0.9874,1.2965,1.3052,0.6907,1.1959,1.2359,1.1404,1.0531,1.0786,1.0082,1.6125,1.5375,1.4945,1.4550,1.7194
PUTTALAM,,0.7094,NQC,NQC,1.1462,1.1243,1.0073,1.3224,0.5737,0.5631,0.4660,0.7391,1.0655,0.7273,0.6753,1.2870,1.2720,0.6195,1.2663,1.3846,NQC,0.9075,0.9236,NQC,NQC,1.5385,1.3962,1.4419,NQC
,KURUNEGALA,0.2528,1.4925,1.5466,1.3908,1.1356,0.9420,1.0916,0.5313,0.5652,0.6219,1.1512,1.2421,1.1566,1.0954,1.3155,1.3398,0.7368,1.1910,1.2539,1.1575,0.8692,0.8531,0.8571,1.5919,1.5239,1.4706,1.4114,1.7054
,ANURADHAPURA,0.4688,1.4966,NQC,1.2106,1.1566,0.9020,0.8270,0.4092,0.4273,0.4326,0.9924,1.1319,0.9687,0.9214,1.2951,1.3138,0.6140,1.3498,1.2371,1.1753,0.8495,0.8702,0.6852,NQC,NQC,1.1827,NQC,NQC
,POLONNARUWA,0.4235,NQC,NQC,0.7810,1.1235,0.9141,1.0630,0.3184,0.5996,0.5682,0.6785,1.0689,1.1071,1.0940,1.2805,1.3187,0.6335,1.2157,NQC,NQC,0.8400,0.9358,0.7772,NQC,NQC,1.1162,NQC,NQC
