,TRINCOMALEE,0.7518,1.7729,NQC,0.5883,NQC,0.1045,0.7570,NQC,NQC,1.4830,1.0633,1.0999,1.1231,NQC,0.6958,0.8009,0.7855,0.3538,0.2208,0.0199,0.3400,0.5759,0.9836,0.9159
BATTICALOA,,1.3603,1.5967,0.9607,0.5258,NQC,0.9021,0.8875,NQC,NQC,1.4334,1.0633,1.0999,NQC,NQC,0.2295,NQC,NQC,0.2254,0.5115,0.4023,0.6957,0.7486,0.4710,0.9995
AMPARA,,0.8812,1.6034,NQC,0.0818,NQC,0.5429,0.5850,NQC,0.7682,1.4135,1.0633,1.0999,0.4630,1.2128,0.3449,0.6324,0.4125,0.3170,0.8079,-0.2764,0.5714,0.0929,-0.1534,0.7860
PUTTALAM,,0.8199,1.6217,1.3494,0.1980,NQC,0.8910,1.2304,0.7059,0.6505,1.4858,1.0633,1.0999,0.6723,NQC,0.4423,0.0388,0.9381,0.4301,0.7703,0.4137,0.2398,NQC,NQC,0.4275
,KURUNEGALA,1.3026,1.5324,0.9763,0.8810,NQC,0.3170,0.7734,0.6582,1.0794,1.4250,1.0633,1.0999,1.0532,0.9007,0.8633,0.9299,1.0478,NQC,NQC,NQC,0.3450,NQC,NQC,0.0571
,ANURADHAPURA,1.0335,1.5535,0.9904,0.6726,1.3924,0.3788,0.6794,1.0974,0.9846,1.3737,1.0633,1.0999,0.9405,0.9304,0.8027,0.9710,0.9686,0.0400,NQC,NQC,0.1912,NQC,NQC,NQC
,POLONNARUWA,6690,1.8568,NQC,0.2815,NQC,NQC,NQC,0.9177,1.4126,1.4168,1.0633,1.0999,1.0939,0.5276,0.8736,0.7846,0.8736,NQC,NQC,NQC,-0.2883,0.1868,NQC,0.9508
BADULLA,,1.2276,1.5882,NQC,0.5365,1.3606,0.3080,1.2677,1.0347,1.1250,1.3095,1.0633,1.0999,0.5424,1.0123,0.7726,0.6111,1.0374,0.0831,-0.3555,0.2607,0.1355,-0.1891,-0.2628,-0.0167
,MONARAGALA,0.7886,1.5603,NQC,0.8387,NQC,NQC,NQC,NQC,1.0550,1.4320,1.0633,1.0999,1.1041,0.5185,0.7226,0.9871,1.0565,0.2499,0.4180,NQC,0.0474,NQC,NQC,NQC
KEGALLE,,1.2555,1.5584,1.0390,0.7501,NQC,0.6421,0.6656,0.9974,1.2090,1.4662,1.0633,1.0999,1.0478,0.8921,0.9599,1.0320,1.0519,0.2188,0.8706,0.9244,-0.5133,0.5523,NQC,0.7294
RATNAPURA,,1.0482,1.5407,0.9947,0.6155,NQC,0.5192,NQC,1.0633,1.0389,1.3480,1.0633,1.0999,0.9832,0.7336,0.8004,0.6529,0.7332,0.4776,NQC,0.1878,0.1522,-0.0469,NQC,0.4033
